❌ 05:02:09 | BidirectionalSynchronizer | ❌ Erro ao ler arquivo de produtos incompletos: Expecting value: line 1 column 1 (char 0)
✅ 05:02:09 | BidirectionalSynchronizer | 📦 Criando novo produto 76545899 no Bagy
✅ 05:02:09 | BagyClient | Creating new product in Bagy: DIV2 Algema em metal Pelúcia Onça
✅ 05:02:09 | BagyClient | Buscando produto com external_id: 76545899
✅ 05:02:10 | BagyClient | Produto encontrado com external_id=76545899 (ID: 8458002)
✅ 05:02:10 | BagyClient | Produto com external_id 76545899 já existe no Bagy (ID: 8458002)
✅ 05:02:10 | ProductConverter | 🧪 [TESTE-VAR] Definindo tipo do produto DIV2 Algema em metal Pelúcia Rosa como 'simple'
❌ 05:02:10 | BidirectionalSynchronizer | ❌ Erro ao ler arquivo de produtos incompletos: Expecting value: line 1 column 1 (char 0)
✅ 05:02:10 | BidirectionalSynchronizer | 📦 Criando novo produto 76545877 no Bagy
✅ 05:02:10 | BagyClient | Creating new product in Bagy: DIV2 Algema em metal Pelúcia Rosa
✅ 05:02:10 | BagyClient | Buscando produto com external_id: 76545877
✅ 05:02:10 | BagyClient | Fazendo busca exaustiva por produto com external_id: 76545877
⚠️ 05:02:11 | BagyClient | Produto não encontrado com external_id: 76545877 após busca exaustiva
✅ 05:02:11 | BagyClient | 🧪 [TESTE-VAR] Produto contém 1 variações
✅ 05:02:11 | BagyClient | 🧪 [TESTE-VAR] Primeira variação: {'product_id': None, 'external_id': '76545877', 'reference': 'L401', 'sku': 'L401', 'gtin': '7899711605023', 'price': 50.0, 'price_compare': 50.0, 'active': True, 'balance': 4, 'attributes': [{'name': 'Opção', 'value': 'Padrão'}]}
✅ 05:02:11 | BagyClient | 🧪 [TESTE-VAR] Variação 1: ID=76545877, SKU=L401
✅ 05:02:11 | BagyClient | 🧪 [TESTE-VAR] Removendo campo 'attributes' da variação 1
✅ 05:02:11 | BagyClient | 🧪 [TESTE-VAR] Removendo 1 variações do payload para criar primeiro o produto base
✅ 05:02:12 | BagyClient | Produto criado com sucesso (ID: 8458005)
✅ 05:02:12 | BagyClient | 🧪 [TESTE-VAR] Criando variação 1/1 para o produto 8458005
❌ 05:02:12 | BagyClient | Response error 400: {"code":"color_attribute_already_exists","error":"Ocorreu um erro interno. Por favor, entre em contato com a nossa central de atendimento."}
⚠️ 05:02:12 | BagyClient | Request failed: 400 Client Error: Bad Request for url: https://api.dooca.store/variations
✅ 05:02:12 | BagyClient | Retrying in 30 seconds...
