✅ 18:18:49 | root | Initializing bidirectional synchronizer
✅ 18:18:49 | root | Running one-time synchronization
✅ 18:18:49 | root | Synchronizing all entities bidirectionally
✅ 18:18:49 | BidirectionalSynchronizer | 🔄 Iniciando sincronização bidirecional completa em 2025-04-16T18:18:49.279071
✅ 18:18:49 | BidirectionalSynchronizer | 📦 Iniciando sincronização de produtos do GestãoClick para Bagy...
✅ 18:18:49 | BidirectionalSynchronizer | 🔄 Iniciando sincronização de produtos do GestãoClick para Bagy
✅ 18:18:49 | BidirectionalSynchronizer | 📋 Buscando catálogo de produtos do GestãoClick...
✅ 18:18:49 | GestaoClickClient | Fetching products from GestãoClick (page 1, limit 100)
✅ 18:18:50 | GestaoClickClient | Fetching products from GestãoClick (page 2, limit 100)
✅ 18:18:51 | GestaoClickClient | Fetching products from GestãoClick (page 3, limit 100)
✅ 18:18:52 | GestaoClickClient | Fetching products from GestãoClick (page 4, limit 100)
✅ 18:18:53 | GestaoClickClient | Fetching products from GestãoClick (page 5, limit 100)
✅ 18:18:54 | GestaoClickClient | Fetching products from GestãoClick (page 6, limit 100)
✅ 18:18:55 | GestaoClickClient | Fetching products from GestãoClick (page 7, limit 100)
✅ 18:18:56 | GestaoClickClient | Fetching products from GestãoClick (page 8, limit 100)
✅ 18:18:57 | GestaoClickClient | Fetching products from GestãoClick (page 9, limit 100)
✅ 18:18:59 | GestaoClickClient | Fetching products from GestãoClick (page 10, limit 100)
✅ 18:19:00 | GestaoClickClient | Fetching products from GestãoClick (page 11, limit 100)
✅ 18:19:01 | GestaoClickClient | Fetching products from GestãoClick (page 12, limit 100)
✅ 18:19:02 | GestaoClickClient | Fetching products from GestãoClick (page 13, limit 100)
✅ 18:19:03 | GestaoClickClient | Fetching products from GestãoClick (page 14, limit 100)
✅ 18:19:04 | GestaoClickClient | Fetching products from GestãoClick (page 15, limit 100)
✅ 18:19:05 | GestaoClickClient | Fetching products from GestãoClick (page 16, limit 100)
✅ 18:19:06 | GestaoClickClient | Fetching products from GestãoClick (page 17, limit 100)
✅ 18:19:08 | GestaoClickClient | Fetching products from GestãoClick (page 18, limit 100)
✅ 18:19:09 | GestaoClickClient | Fetching products from GestãoClick (page 19, limit 100)
✅ 18:19:10 | GestaoClickClient | Fetching products from GestãoClick (page 20, limit 100)
✅ 18:19:11 | GestaoClickClient | Fetching products from GestãoClick (page 21, limit 100)
✅ 18:19:12 | Pagination | Atingido o limite de páginas da API GestãoClick (21/21)
✅ 18:19:12 | Pagination | Recuperado um total de 2000 itens de 21 páginas
✅ 18:19:12 | BidirectionalSynchronizer | 📦 Found 2000 products in GestãoClick
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 76455796 (VIBRE DOCE D LEITE GEL DE MASSAGEM ELETRIZANTE 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto VIBRE DOCE D LEITE GEL DE MASSAGEM ELETRIZANTE 15G (ID: 76455796) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 76455542 (VIBRE UVA GEL DE MASSAGEM ELETRIZANTE 15G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto VIBRE UVA GEL DE MASSAGEM ELETRIZANTE 15G (ID: 76455542) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 76367303 (CLAREADOR 50ML DS) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
